outcome,regressor,fixed_effects,coefficient,std_error,t_stat_zero,p_value_zero_two_sided,nobs,r_squared,null_value,t_stat_eta_eq_1,p_value_eta_eq_1_two_sided,p_value_eta_gt_1_one_sided
fe2,sigma_target_w6,none,0.760581032809602,0.07851968532166104,9.686501285554469,0.0,4075,0.16215258227298412,,,,
fe2,sigma_target_w6,firm,0.09821551585654707,0.0850717598606244,1.1545019877037512,0.248367002559446,4075,0.0033975868540507825,,,,
fe2,sigma_target_w6,firm_time,0.10827903614076803,0.08850550811329144,1.2234157901468177,0.2212501813859047,4075,0.0028557391058358084,,,,
fe2,sigma2,none,0.788849317894986,0.08054517657818705,9.793874089148366,0.0,4075,0.14881422012163303,,,,
fe2,sigma2,firm,0.046760194599925094,0.10680338104228193,0.4378156772154376,0.6615447822758991,4075,0.002400360945570945,,,,
fe2,sigma2,firm_time,0.058273399868369394,0.10927889627571782,0.533253920513086,0.5938896766073418,4075,0.0017565500417902058,,,,
log_fe2_c,log_sigma2,none,0.5675470729220665,0.03390378432654823,16.739932848075927,0.0,4075,0.15784367350864248,1.0,-12.755299612359286,2.9125281294939093e-37,1.0
log_fe2_c,log_sigma2,firm,0.13096205464168076,0.04359269856483145,3.0042199485978784,0.0026799951577556325,4075,0.008638949466909351,1.0,-19.935401431179542,2.0068854828518886e-88,1.0
log_fe2_c,log_sigma2,firm_time,0.11118400955792045,0.04375438916985271,2.541093857494131,0.011090905105260118,4075,0.007277422307767956,1.0,-20.313756112369276,9.718063295400482e-92,1.0
normalized_fe2,sigma_target_w6,none,-9.55398685154496,1.4402944391856733,-6.63335675790478,3.7122305229786434e-11,4075,0.012960545703694426,,,,
normalized_fe2,sigma_target_w6,firm,-25.78066152422378,4.984936092388877,-5.171713547859987,2.4391996444883546e-07,4075,0.033172666664955885,,,,
normalized_fe2,sigma_target_w6,firm_time,-26.570280982428272,5.850957357040836,-4.541185204581013,5.771118521513685e-06,4075,0.03542181752602991,,,,
