bin,mean_sigma,mean_fe2,mean_normalized_fe2,nobs,n_firms,mean_fe2_lo,mean_fe2_hi,mean_normalized_fe2_lo,mean_normalized_fe2_hi
0,0.06477831248103451,0.02973969316305393,8.80617034906396,815,134,0.02402400497687468,0.03755231787194206,6.762082238659066,11.269525634957775
1,0.12343047046911809,0.053331434553699486,3.677274973963301,815,168,0.04111301765514367,0.06800493845951835,2.7498942387911076,5.023424483958382
2,0.18718196160339975,0.09541823362876416,2.7373339039024804,815,179,0.0823195409266804,0.11451835951184662,2.354310777293432,3.3250712430739653
3,0.2951896025268077,0.1637533039930353,1.9621045242517698,815,164,0.13765154514120972,0.19110946823801,1.6766004306741085,2.2968997075868667
4,0.5760435354376923,0.4052909881237509,1.2789632820282062,815,114,0.3250118253343732,0.4930569056068642,1.0865809964240674,1.4889017791674939
