outcome,regressor,fixed_effects,coefficient,std_error,t_stat_zero,p_value_zero_two_sided,nobs,r_squared,state,null_value,t_stat_eta_eq_1,p_value_eta_eq_1_two_sided,p_value_eta_gt_1_one_sided
normalized_fe2,aggregate_sigma_loo,firm,3.0948929870069755,12.208493156236447,0.2535032741060281,0.7998930416615746,4075,0.00019955352593925557,aggregate,,,,
log_fe2_c,log_aggregate_sigma2_loo,firm,0.31758878422757575,0.24109003840310636,1.3173036361484263,0.1878162683217257,4075,0.005712946257016682,aggregate,1.0,-2.830524314867883,0.004647177876992126,0.997676411061504
normalized_fe2,sector_sigma_loo,firm_time,2.9916920242313885,5.304370033890929,0.564005151434898,0.5727850985652516,4023,0.0010417738441250712,sector,,,,
log_fe2_c,log_sector_sigma2_loo,firm_time,-0.07453535890811275,0.07779819697308434,-0.9580602354306434,0.33809551062370335,4023,0.004874591592605504,sector,1.0,-13.811828560498226,2.1627123744070026e-43,1.0
