specification,term,coefficient,std_error,t_stat,p_value,nobs,rsquared_within
baseline,sigma_target_w6,-26.570280982428272,5.850957357040836,-4.541185204581013,5.771118521513685e-06,4075,0.03022103459752845
baseline,output_growth,0.05793876654479079,0.41583912070032736,0.1393297639895312,0.8891971132488581,4075,0.03022103459752845
baseline,output_growth_missing,-1.0775787580822633,0.9840778581019064,-1.095013721943406,0.2735815158320174,4075,0.03022103459752845
log_volatility,log_sigma,-9.24857817814572,1.5720634352340774,-5.883082050546277,4.38239822209141e-09,4075,0.056020343721829624
log_volatility,output_growth,-0.0207129122262879,0.4111009302523655,-0.05038400719154957,0.9598190855978328,4075,0.056020343721829624
log_volatility,output_growth_missing,-0.8332644933998171,1.0175208631167876,-0.8189163717463529,0.4128865858261117,4075,0.056020343721829624
lagged_controls,sigma_target_w6,-26.612358329359424,5.918112197651629,-4.496764752097721,7.110062352211344e-06,4075,0.03288887019302389
lagged_controls,output_growth,-0.7109673105682234,1.9147888314442263,-0.37130324706979695,0.7104328359135779,4075,0.03288887019302389
lagged_controls,price_growth,-0.5798825029392184,40.00296587879498,-0.014495987739914206,0.9884350580149865,4075,0.03288887019302389
lagged_controls,output_growth_missing,0.3413607580710578,0.7296458736552409,0.46784443028639866,0.6399232661231093,4075,0.03288887019302389
lagged_controls,price_growth_missing,0.06969402277084948,2.1151169101708414,0.03295043523869334,0.9737158817993197,4075,0.03288887019302389
sector_time_fe,sigma_target_w6,-28.25533365519523,7.359226907306875,-3.839443193026281,0.00012597076493725545,4075,0.031565023809731585
sector_time_fe,output_growth,0.2360219383987401,0.725800059259536,0.32518864580905466,0.7450619469287916,4075,0.031565023809731585
sector_time_fe,output_growth_missing,-0.24520140332539317,1.0862849392655665,-0.22572475642640594,0.8214315352619619,4075,0.031565023809731585
winsorized_fe,sigma_target_w6,-23.577006134361802,5.046968062111432,-4.671518789936271,3.095551094345339e-06,4075,0.029217200884793293
winsorized_fe,output_growth,0.12612056787250897,0.3748588064967208,0.3364481924572639,0.7365518902134984,4075,0.029217200884793293
winsorized_fe,output_growth_missing,-0.7981530415860648,0.679250510275067,-1.1750496017483263,0.24005007753642227,4075,0.029217200884793293
window_6,sigma_target_w6,-26.570280982428272,5.850957357040836,-4.541185204581013,5.771118521513685e-06,4075,0.03022103459752845
window_6,output_growth,0.05793876654479079,0.41583912070032736,0.1393297639895312,0.8891971132488581,4075,0.03022103459752845
window_6,output_growth_missing,-1.0775787580822633,0.9840778581019064,-1.095013721943406,0.2735815158320174,4075,0.03022103459752845
window_9,sigma_target_w9,-33.91561376657532,13.03449988659586,-2.601988113211212,0.009314924245669376,3292,0.04458459422532113
window_9,output_growth,-0.22173479100114757,0.405389789406388,-0.546966886674264,0.5844429090796717,3292,0.04458459422532113
window_9,output_growth_missing,-1.4227650739377768,1.2930452278319602,-1.1003211978310434,0.271282098855514,3292,0.04458459422532113
window_12,sigma_target_w12,-34.72416013775094,9.583880338713245,-3.623183816004645,0.0002975579593158528,2524,0.07087111957485215
window_12,output_growth,0.055756284128114744,0.2953046019478886,0.18880939802608923,0.8502595264462534,2524,0.07087111957485215
window_12,output_growth_missing,-0.2288619516733359,0.8038153355703356,-0.2847195637427721,0.7758856533587153,2524,0.07087111957485215
