bin,mean_sigma,ratio_of_moments,mean_normalized_fe2,nobs,n_firms,ratio_of_moments_lo,ratio_of_moments_hi,mean_normalized_fe2_lo,mean_normalized_fe2_hi,tau2_model_implied,structural_mapping_valid
0,0.06477831248103452,6.483374366936191,8.80617034906396,815.0,134.0,4.610659632023174,8.265289553079032,6.585540917093396,11.415435768747104,,False
1,0.12343047046911808,3.4423989068679806,3.677274973963301,815.0,168.0,2.693501453308704,4.461437403855057,2.768984535491119,5.103952947930287,,False
2,0.1871819616033997,2.6833324364039464,2.7373339039024804,815.0,179.0,2.2954137559144283,3.0581785210971395,2.329354774015631,3.1091651449418825,,False
3,0.29518960252680765,1.84500253092038,1.96210452425177,815.0,164.0,1.5487280454232497,2.093839320251385,1.6775884803209542,2.261891315087191,,False
4,0.5760435354376923,1.0977641412621157,1.2789632820282062,815.0,114.0,0.9415146774942634,1.2447232805821873,1.0773059381313872,1.4932736335059713,,False
