bin,mean_sigma,ratio_of_moments,mean_normalized_fe2,nobs,n_firms,ratio_of_moments_lo,ratio_of_moments_hi,mean_normalized_fe2_lo,mean_normalized_fe2_hi,tau2_model_implied,structural_mapping_valid
0,0.06329095421979139,7.211590528607089,12.793243627410979,821.0,133.0,5.424283256978118,9.29045740385971,7.884636518385441,18.223513009923536,,False
1,0.12451325711765393,3.3677529205996395,3.550563500477319,820.0,162.0,2.643912547212449,4.356295999686537,2.6553954465208554,4.947408977726037,,False
2,0.19169367129319173,2.626905672850971,2.6090062006010464,820.0,173.0,2.1665359362855976,3.180823541994593,2.1925304754552637,3.0672571163040736,,False
3,0.3049219039840857,1.6069318656890483,1.7265021937852176,820.0,163.0,1.4046112970003057,1.8387852109062806,1.5221701990961252,1.9659124300353683,,False
4,0.6003320195615536,1.019999432414058,1.2257203871773765,820.0,115.0,0.8970766391537778,1.1479954005221802,1.0100912588281379,1.4247055866414786,,False
