outcome,regressor,fixed_effects,coefficient,std_error,t_stat_zero,p_value_zero_two_sided,nobs,r_squared,state,null_value,t_stat_eta_eq_1,p_value_eta_eq_1_two_sided,p_value_eta_gt_1_one_sided
normalized_fe2,aggregate_sigma_loo,firm,-5.38156018384222,18.934137403711983,-0.28422526303137424,0.7762531331738285,4101,0.00027582568710149413,aggregate,,,,
log_fe2_c,log_aggregate_sigma2_loo,firm,0.15538578641905706,0.245040554241407,0.6341227349085058,0.5260386267747332,4101,0.005741308467934969,aggregate,1.0,-3.4468344074542574,0.0005671961204997377,0.9997164019397501
normalized_fe2,sector_sigma_loo,firm_time,13.54599894068946,13.573575037241786,0.9979683984155489,0.31836006657164884,4047,0.0009044284105810263,sector,,,,
log_fe2_c,log_sector_sigma2_loo,firm_time,-0.07846960205333645,0.07631051265642555,-1.0282934725734554,0.3038791440284798,4047,0.005353134648188429,sector,1.0,-14.132647842492595,2.3898657646674504e-45,1.0
