specification,term,coefficient,std_error,t_stat,p_value,nobs,rsquared_within
baseline,sigma_target_w6,-33.46818797185385,7.061766557492446,-4.7393506567198145,2.2236929155816654e-06,4101,0.01310656667285759
baseline,output_growth,-0.3656769032234776,0.5035459975235612,-0.7262035742948535,0.4677593518245071,4101,0.01310656667285759
baseline,output_growth_missing,0.25696384808743167,3.645867128765605,0.07048085928859205,0.9438146969377605,4101,0.01310656667285759
log_volatility,log_sigma,-15.76355526086665,4.518200553076011,-3.488901184374109,0.0004905955708955911,4101,0.04152954274762377
log_volatility,output_growth,-0.09169064955398734,0.5354676680948065,-0.17123470755988424,0.8640484663590049,4101,0.04152954274762377
log_volatility,output_growth_missing,0.838828456781834,3.5794884110577514,0.23434311288465864,0.814731425197853,4101,0.04152954274762377
lagged_controls,sigma_target_w6,-33.221621734594855,6.9403222266687035,-4.786754944451759,1.7604964572814907e-06,4101,0.010679276875622423
lagged_controls,output_growth,-6.386249448608654,4.830565358392259,-1.3220501069328596,0.18623222991247168,4101,0.010679276875622423
lagged_controls,price_growth,-23.79983496323117,33.69464268492581,-0.7063388440049746,0.48002139415031286,4101,0.010679276875622423
lagged_controls,output_growth_missing,-7.7098741672467215,8.485922670931888,-0.9085487184153254,0.36364686418564873,4101,0.010679276875622423
lagged_controls,price_growth_missing,4.41202299074557,2.9566988650567207,1.4922124951202735,0.13572770130680833,4101,0.010679276875622423
sector_time_fe,sigma_target_w6,-36.4571240931334,9.03928343126327,-4.033187405878079,5.644409470750844e-05,4101,0.013275560329113922
sector_time_fe,output_growth,-0.27302330608319353,1.0672243730987456,-0.25582559109895053,0.7981036499310972,4101,0.013275560329113922
sector_time_fe,output_growth_missing,1.5463920587723627,4.549200925251621,0.3399260846423991,0.7339368013847021,4101,0.013275560329113922
winsorized_fe,sigma_target_w6,-30.83483101109765,6.6837182390496395,-4.6134247298075906,4.093367928836855e-06,4101,0.011661878586952223
winsorized_fe,output_growth,-0.31124619690773003,0.4823001240583466,-0.6453371694967195,0.5187482333241049,4101,0.011661878586952223
winsorized_fe,output_growth_missing,0.5371288754622778,3.5784964364039715,0.1500990388024637,0.8806945592082394,4101,0.011661878586952223
window_6,sigma_target_w6,-33.46818797185385,7.061766557492446,-4.7393506567198145,2.2236929155816654e-06,4101,0.01310656667285759
window_6,output_growth,-0.3656769032234776,0.5035459975235612,-0.7262035742948535,0.4677593518245071,4101,0.01310656667285759
window_6,output_growth_missing,0.25696384808743167,3.645867128765605,0.07048085928859205,0.9438146969377605,4101,0.01310656667285759
window_9,sigma_target_w9,-33.73136953335944,12.160673383288717,-2.773807705395108,0.00557503813697835,3318,0.034336159078932726
window_9,output_growth,-0.10382720961507767,0.3997331328032165,-0.25974131512933774,0.7950813122796054,3318,0.034336159078932726
window_9,output_growth_missing,-2.015252479308245,1.7608570419578462,-1.1444725104245508,0.252519893959267,3318,0.034336159078932726
window_12,sigma_target_w12,-31.810258476688023,8.658476470019524,-3.6738863455751,0.0002445103914165969,2546,0.06477188026107183
window_12,output_growth,0.0444532336995411,0.2815691597006176,0.15787678503855548,0.8745681661012441,2546,0.06477188026107183
window_12,output_growth_missing,0.41477012310487754,1.1076340562594331,0.3744649424247469,0.7080939905995796,2546,0.06477188026107183
