bin,mean_sigma,mean_fe2,mean_normalized_fe2,nobs,n_firms,mean_fe2_lo,mean_fe2_hi,mean_normalized_fe2_lo,mean_normalized_fe2_hi
0,0.06329095421979139,0.03177959175747585,12.793243627410979,821,133,0.025416574608720283,0.03982147429155386,7.983946994787891,18.923503014116314
1,0.12451325711765393,0.05318887794920668,3.550563500477319,820,162,0.039795714081688784,0.06960719144742249,2.589970550652116,4.947272338931687
2,0.19169367129319173,0.09803070206864072,2.6090062006010464,820,173,0.08453204640309855,0.12013471300168596,2.2319662946153227,3.1366890404797467
3,0.3049219039840857,0.15220983263573679,1.7265021937852176,820,163,0.12834570595547426,0.1771229323350962,1.477809242274714,1.9850422622929051
4,0.6003320195615536,0.4118738663528609,1.2257203871773765,820,115,0.3249047327008425,0.5035739061331315,1.0254144094068243,1.441354295760771
